CODE_ID,GEO_LAT,GEO_LONG,VAL_ELEV,TXT_DESIG
ZBAA,40.0421,116.3551,35, 01
ZBAA,40.0421,116.3551,35, 18
ZBAA,40.0421,116.3551,35, 18
ZBAD,39.3003,116.2356,25, 01
ZBAD,39.3003,116.2356,25, 11
ZBAD,39.3003,116.2356,25, 17
ZBAD,39.3003,116.2356,25, 17
ZBAL,38.4454,105.3503,1395, 14
ZBAR,39.1331,101.3258,1417, 13
ZBCD,41.0717,118.0435,702, 12
ZBCF,42.0935,118.5027,621, 03
ZBCZ,36.1456,113.0735,923, 01
ZBDH,39.3959,119.0341,16, 08
ZBDS,39.2930,109.5150,1400, 13
ZBDT,40.0337,113.2856,1057, 14
ZBEN,42.0056,101.0002,935, 12
ZBER,43.2526,112.0531,1015, 12
ZBES,47.1838,119.5443,896, 08
ZBHD,36.3129,114.2526,73, 05
ZBHH,40.5059,111.4928,1084, 08
ZBHZ,45.2915,119.2423,985, 11
ZBLA,49.1222,119.4941,660, 09
ZBLF,36.0802,111.3827,498, 17
ZBLL,37.4055,111.0835,1167, 18
ZBMZ,49.3358,117.1956,680, 12
ZBOW,40.3334,109.5954,1012, 13
ZBSJ,38.1651,114.4150,71, 15
ZBSN,39.4304,118.0012,15, 10
ZBTJ,39.0728,117.2046,2, 16
ZBTJ,39.0728,117.2046,2, 16
ZBTL,43.3325,122.1159,184, 02
ZBUC,41.0749,113.0624,1413, 09
ZBUH,39.4736,106.4758,1111, 01
ZBUL,46.1206,121.5956,306, 14
ZBXH,43.5443,115.5737,1017, 04
ZBXZ,38.3550,112.5806,780, 08
ZBYC,35.0702,111.0205,381, 08
ZBYN,37.4448,112.3743,786, 13
ZBYZ,40.5537,107.4422,1034, 11
ZBZJ,40.4419,114.5603,718, 12
ZBZL,47.5200,122.4608,287, 02
ZGBH,21.3222,109.1738,25, 01
ZGBS,23.4312,106.5737,146, 12
ZGCD,28.5508,111.3823,46, 02
ZGCJ,27.2638,109.4219,267, 04
ZGDY,29.0611,110.2637,217, 08
ZGGG,23.2332,113.1835,15, 02
ZGGG,23.2332,113.1835,15, 02
ZGGG,23.2332,113.1835,15, 01
ZGHA,28.1121,113.1311,67, 18
ZGHA,28.1121,113.1311,67, 18
ZGHC,24.4818,107.4238,678, 14
ZGHY,26.4320,112.3705,102, 04
ZGHZ,23.0255,114.3601,19, 09
ZGKL,25.1305,110.0222,174, 01
ZGLD,22.4239,111.3605,57, 16
ZGLG,26.2020,111.3636,104, 18
ZGMX,24.1556,116.0559,93, 04
ZGNN,22.3630,108.1021,128, 05
ZGOW,23.3307,116.3012,16, 04
ZGSD,22.0024,113.2236,6, 05
ZGSY,26.4822,110.3828,461, 03
ZGSZ,22.3821,113.4838,4, 16
ZGSZ,22.3821,113.4838,4, 15
ZGUH,22.1507,113.3525,4, 16
ZGWZ,23.2411,111.0557,94, 04
ZGYJ,21.5742,112.0609,11, 17
ZGYL,22.2600,110.0713,140, 04
ZGYY,29.1846,113.1655,76, 18
ZGZH,24.1228,109.2329,100, 16
ZGZJ,21.1301,110.2128,43, 16
ZHCC,34.3110,113.5028,151, 12
ZHCC,34.3110,113.5028,151, 12
ZHES,30.1914,109.2907,495, 01
ZHHH,30.4701,114.1229,35, 04
ZHHH,30.4701,114.1229,35, 04
ZHJZ,30.1734,112.2654,30, 01
ZHLY,34.4429,112.2316,265, 08
ZHNY,32.5846,112.3650,126, 05
ZHSN,31.3734,110.2024,2585, 17
ZHSY,32.3536,110.5422,325, 13
ZHXF,32.0905,112.1728,72, 01
ZHXY,32.3227,114.0445,97, 07
ZHYC,30.3323,111.2848,205, 14
ZJHK,19.5605,110.2732,23, 09
ZJQH,19.0821,110.2715,16, 15
ZJSY,18.1811,109.2444,29, 08
ZJYX,16.5001,112.2042,4, 05
ZLAK,32.4525,108.5224,371, 10
ZLDH,40.0942,094.4832,1125, 08
ZLDL,37.0731,097.1607,2862, 07
ZLGL,34.2507,100.1802,3788, 12
ZLGM,36.2400,094.4711,2843, 09
ZLGY,36.0446,106.1259,1746, 18
ZLHB,38.0030,100.3841,3163, 10
ZLHX,38.1156,090.5026,2905, 15
ZLHZ,33.0802,107.1217,495, 07
ZLIC,38.1916,106.2332,1141, 03
ZLJC,38.3232,102.2054,1442, 13
ZLJQ,39.5125,098.2030,1559, 14
ZLLL,36.3048,103.3715,1947, 18
ZLLN,33.4724,105.4720,1131, 09
ZLQY,35.4811,107.3556,1413, 14
ZLTS,34.3337,105.5137,1095, 10
ZLXH,34.4909,102.3719,3190, 10
ZLXN,36.3149,102.0222,2184, 11
ZLXY,34.2649,108.4508,479, 05
ZLXY,34.2649,108.4508,479, 05
ZLYA,36.2847,109.2751,1209, 17
ZLYL,38.2131,109.3530,1186, 16
ZLYS,32.5011,097.0211,3905, 10
ZLZW,37.3424,105.0917,1246, 09
ZLZY,38.4829,100.3940,1589, 11
ZPBS,25.0307,099.1003,1665, 01
ZPCW,23.1634,099.2224,1840, 05
ZPDL,25.3901,100.1907,2155, 17
ZPDQ,27.4723,099.4044,3288, 16
ZPJH,21.5825,100.4545,553, 16
ZPJM,22.2503,099.4703,1351, 12
ZPLC,23.4421,100.0128,1897, 16
ZPLJ,26.4046,100.1444,2243, 02
ZPMS,24.2405,098.3155,877, 05
ZPNL,27.3225,100.4534,3293, 05
ZPPP,25.0614,102.5635,2104, 04
ZPPP,25.0614,102.5635,2104, 03
ZPSM,22.4737,100.5733,1300, 18
ZPTC,24.5617,098.2909,1888, 18
ZPWS,23.3330,104.1932,1590, 02
ZPZT,27.1940,103.4523,1936, 04
ZSAM,24.3239,118.0740,18, 05
ZSAQ,30.3457,117.0302,18, 06
ZSCG,31.5511,119.4641,7, 11
ZSCN,28.5144,115.5405,44, 03
ZSDY,37.3032,118.4721,5, 18
ZSFY,32.5255,115.4403,33, 03
ZSFZ,25.5606,119.3949,14, 03
ZSGS,26.5127,114.4415,86, 08
ZSGZ,25.5112,114.4645,135, 07
ZSHC,30.1346,120.2604,7, 07
ZSHC,30.1346,120.2604,7, 06
ZSHZ,35.1249,115.4412,47, 18
ZSJD,29.2020,117.1033,42, 04
ZSJG,35.1734,116.2048,39, 09
ZSJH,30.4425,117.4115,20, 13
ZSJJ,29.2838,115.4806,47, 04
ZSJN,36.5126,117.1258,23, 01
ZSJU,28.5800,118.5357,64, 06
ZSLG,34.3419,118.5225,21, 03
ZSLO,25.4035,116.4447,374, 03
ZSLQ,28.3345,121.2544,4, 03
ZSLY,35.0257,118.2443,68, 01
ZSNB,29.4930,121.2754,4, 13
ZSNJ,31.4432,118.5143,15, 06
ZSNJ,31.4432,118.5143,15, 07
ZSNT,32.0411,120.5849,5, 18
ZSOF,31.5918,116.5836,64, 15
ZSPD,31.0839,121.4733,4, 17
ZSPD,31.0839,121.4733,4, 16
ZSPD,31.0839,121.4733,4, 17
ZSPD,31.0839,121.4733,4, 16
ZSQD,36.1558,120.2228,10, 17
ZSQZ,24.4750,118.3521,6, 03
ZSRZ,35.2420,119.1925,50, 13
ZSSH,33.4727,119.0730,11, 04
ZSSL,31.0950,121.2713,5, 18
ZSSM,26.2535,117.5001,283, 06
ZSSR,28.2247,117.5751,110, 06
ZSSS,31.1152,121.2011,3, 18
ZSSS,31.1152,121.2011,3, 18
ZSTX,29.4401,118.1522,134, 13
ZSWA,31.0615,118.4000,24, 06
ZSWF,36.3849,119.0707,47, 17
ZSWH,37.1113,122.1344,45, 03
ZSWX,31.2941,120.2546,5, 03
ZSWY,27.4203,118.0001,196, 03
ZSWZ,27.5431,120.5108,5, 03
ZSXZ,34.0334,117.3323,35, 09
ZSYA,32.3348,119.4311,5, 17
ZSYC,27.4809,114.1823,145, 06
ZSYN,33.2534,120.1212,3, 04
ZSYT,37.3938,120.5845,47, 05
ZSYW,29.2041,120.0156,83, 02
ZSZS,29.5602,122.2144,2, 18
ZUAL,32.0600,080.0311,4274, 15
ZUAS,26.1538,105.5224,1466, 08
ZUBD,30.3321,097.0624,4333, 14
ZUBJ,27.1601,105.2818,1468, 08
ZUBZ,31.4416,106.3834,555, 07
ZUCK,29.4308,106.3829,416, 03
ZUCK,29.4308,106.3829,416, 02
ZUCK,29.4308,106.3829,416, 02
ZUDC,29.1900,100.0337,4411, 16
ZUDX,31.0756,107.2548,281, 02
ZUGH,30.5655,104.1946,467, 13
ZUGU,32.2325,105.4138,627, 08
ZUGY,26.3218,106.4804,1139, 01
ZUGY,26.3218,106.4804,1139, 01
ZUGZ,31.4522,099.3325,4067, 12
ZUHY,32.3154,102.2108,3540, 16
ZUJZ,32.5110,103.4055,3448, 02
ZUKD,30.0835,101.4419,4238, 15
ZUKJ,26.5819,107.5917,917, 04
ZULB,25.2704,107.5745,825, 03
ZULS,29.1753,090.5444,3570, 09
ZULZ,29.0150,105.2808,336, 07
ZUMT,27.5745,106.2608,1242, 17
ZUMY,31.2548,104.4423,519, 14
ZUNC,30.4753,106.0952,354, 06
ZUNP,26.1920,109.0900,485, 06
ZUNZ,29.1813,094.2006,2950, 05
ZUPS,26.3632,104.5842,1975, 05
ZUQJ,29.3053,108.4954,632, 03
ZURK,29.2107,089.1838,3801, 09
ZUSN,30.2817,105.3639,277, 12
ZUTF,30.1728,104.2641,443, 11
ZUTF,30.1728,104.2641,443, 02
ZUTF,30.1728,104.2641,443, 01
ZUTR,27.5303,109.1834,705, 04
ZUUU,30.3443,103.5649,512, 02
ZUUU,30.3443,103.5649,512, 02
ZUWL,29.2750,107.4136,1745, 01
ZUWS,31.0408,109.4233,1772, 06
ZUWX,30.4806,108.2559,569, 11
ZUXC,27.5920,102.1103,1559, 18
ZUXJ,30.2516,103.5040,461, 02
ZUYB,28.5130,104.3136,423, 11
ZUYI,25.0512,104.5734,1255, 16
ZUZH,26.3224,101.4755,1980, 02
ZUZY,27.4840,107.1446,830, 18
ZWAK,41.1547,080.1722,1170, 09
ZWAT,47.4501,088.0504,760, 12
ZWBL,44.5342,082.1802,398, 10
ZWCM,38.1401,085.2752,1220, 04
ZWFY,46.4815,089.3044,940, 12
ZWHM,42.5030,093.4007,833, 11
ZWHZ,44.1431,085.5326,518, 09
ZWKC,41.4040,082.5222,1039, 08
ZWKL,41.3654,086.0830,926, 04
ZWKM,45.2800,084.5710,275, 13
ZWKN,48.1321,086.5945,1196, 12
ZWNL,43.2554,083.2239,937, 08
ZWRQ,38.5829,088.0030,895, 04
ZWSC,38.1439,077.0325,1303, 15
ZWSH,39.3233,076.0112,1381, 08
ZWTC,46.4015,083.2045,613, 12
ZWTL,43.0151,089.0556,282, 09
ZWTN,37.0218,079.5150,1424, 11
ZWTS,39.5318,079.1404,1091, 02
ZWWW,43.5426,087.2827,648, 07
ZWYN,43.5722,081.1950,684, 06
ZWYT,36.4831,081.4700,1446, 08
ZYAS,41.0622,122.5113,16, 02
ZYBA,45.3019,123.0111,146, 07
ZYBS,42.0401,127.3608,882, 01
ZYCC,43.5951,125.4113,215, 06
ZYCH,39.1559,122.4001,35, 17
ZYCY,41.3218,120.2604,173, 18
ZYDD,40.0132,124.1713,10, 01
ZYDQ,46.4507,125.0817,153, 17
ZYDU,48.2628,126.0744,312, 08
ZYFY,48.1150,134.2148,61, 06
ZYHB,45.3725,126.1501,139, 05
ZYHE,50.1019,127.1833,321, 17
ZYJD,50.2216,124.0703,371, 18
ZYJM,46.5033,130.2750,80, 06
ZYJS,47.0631,132.3927,59, 15
ZYJX,45.1735,131.1135,227, 12
ZYJZ,40.5610,121.1638,7, 04
ZYLD,47.4507,129.0109,257, 12
ZYMD,44.3129,129.3409,270, 04
ZYMH,52.5501,122.2523,565, 15
ZYQQ,47.1423,123.5505,145, 17
ZYSQ,44.5552,124.3307,150, 04
ZYTL,38.5756,121.3220,33, 10
ZYTN,42.0252,125.4400,414, 05
ZYTX,41.3824,123.2900,61, 06
ZYYJ,42.5258,129.2705,190, 09
ZYYK,40.3233,122.2131,6, 04
